PaperCitedTitle,PaperCitedDOI,PaperCitedURL,FromDOI
Applications of Large Language Models in Psychiatry: A Systematic Review.,10.1101/2024.03.28.24305027,https://www.semanticscholar.org/paper/dbb2c24d732fb9f0b20ab42b2af74cc44de2714d,10.2196/51243
The opportunities and risks of large language models in mental health,10.48550/arXiv.2403.14814,https://www.semanticscholar.org/paper/ab80047970b739af80b607468204f7822e6a9653,10.2196/51243
Large Language Model for Mental Health: A Systematic Review,10.2196/preprints.57400,https://www.semanticscholar.org/paper/0dc70778ed2d257d1bad1bf335feaae6716958fd,10.2196/51243
Enhancing Postoperative Cochlear Implant Care With ChatGPT-4: A Study on Artificial Intelligence (AI)-Assisted Patient Education and Support,10.7759/cureus.53897,https://www.semanticscholar.org/paper/e100f07a3654e85c8ec938081b729f315d5e30a7,10.2196/51243
Assessing the Effectiveness of ChatGPT in Delivering Mental Health Support: A Qualitative Study,10.2147/JMDH.S447368,https://www.semanticscholar.org/paper/b2a492ab1dc7636f2972349823881ed93100085d,10.2196/51243
Exploring the Frontiers of LLMs in Psychological Applications: A Comprehensive Review,10.48550/arXiv.2401.01519,https://www.semanticscholar.org/paper/71491b7e8913f24d7d0f01bfd0a9814dc72f4675,10.48550/arXiv.2311.14378
RU-AI: A Large Multimodal Dataset for Machine Generated Content Detection,,https://www.semanticscholar.org/paper/6f1e2377246e2fc50f206ff18951c2b2e2ded1a1,10.1109/EDUCON54358.2023.10125121
"Mapping the individual, social and biospheric impacts of Foundation Models",10.1145/3630106.3658939,https://www.semanticscholar.org/paper/0dfe5aa18508597b3e1de049326b2c5534e19a20,10.1109/EDUCON54358.2023.10125121
Investigasi Persepsi Mahasiswa terhadap ChatGPT dalam Model Blended Learning pada Pembelajaran Matematika,10.61220/voice.v2i1.25,https://www.semanticscholar.org/paper/2b7875b8e9041383451dfd04a8471737fffd2b67,10.1109/EDUCON54358.2023.10125121
A Case Study Investigating the Utilization of ChatGPT in Online Discussions,10.24059/olj.v28i2.4407,https://www.semanticscholar.org/paper/f87cc49ff5ec92d59b809d16ad354d74b7143dbf,10.1109/EDUCON54358.2023.10125121
Opportunities and Challenges of Integrating Generative Artificial Intelligence in Education,10.61707/8y29gv34,https://www.semanticscholar.org/paper/8287358ed0aa68d3062b5cf2d6b8d9a6bcabff38,10.1109/EDUCON54358.2023.10125121
ChatGPT in higher education: factors influencing ChatGPT user satisfaction and continued use intention,10.3389/feduc.2024.1354929,https://www.semanticscholar.org/paper/9b44007cbdfac559a7ec1eb7b4f0c14ad124b038,10.1109/EDUCON54358.2023.10125121
Chat-GPT; validating Technology Acceptance Model (TAM) in education sector via ubiquitous learning mechanism,10.1016/j.chb.2023.108097,https://www.semanticscholar.org/paper/e1be4c89ee19bcb29d666d7e08932def55208d50,10.1109/EDUCON54358.2023.10125121
Generative AI Usage and Academic Performance,10.2139/ssrn.4812513,https://www.semanticscholar.org/paper/efe35b9e935b03cafbbacb41b4b0867e28ed0b3d,10.1109/EDUCON54358.2023.10125121
Integration of AI into the Distance Learning Environment: Enhancing Soft Skills,10.24093/awej/chatgpt.3,https://www.semanticscholar.org/paper/89e74665fbc2f2439d90de5534475c7502a5f175,10.1109/EDUCON54358.2023.10125121
Using ChatGPT as a Learning Tool: A Study of Ukrainian Students’ Perceptions,10.24093/awej/chatgpt.17,https://www.semanticscholar.org/paper/43a976a3f0c8c4fa52f54fea639e9d0449f09996,10.1109/EDUCON54358.2023.10125121
"Navigating the Artificial Intelligence Frontier: Perceptions of Instructors, Students, and Administrative Staff on the Role of Artificial Intelligence in Education in the Sultanate of Oman",10.24093/awej/chatgpt.4,https://www.semanticscholar.org/paper/e8b9f80180c6a9cfa85a15dcd02956274a608907,10.1109/EDUCON54358.2023.10125121
"Academic Evolution in the Age of ChatGPT: An In-depth Qualitative Exploration of its Influence on Research, Learning, and Ethics in Higher Education",10.53761/7egat807,https://www.semanticscholar.org/paper/2ee22877f89ff9fc2c30388ee589d2a73eef609f,10.1109/EDUCON54358.2023.10125121
The Evolution of Learning: Assessing the Transformative Impact of Generative AI on Higher Education,10.48550/arXiv.2404.10551,https://www.semanticscholar.org/paper/88e33c304272ae0ed7d897250a97a197d753a8de,10.1109/EDUCON54358.2023.10125121
